,code,name
296,AHIS 429,"AHIS 429 Studies in Art, Science, and Technology"
297,AHIS 430,AHIS 430 Studies in Renaissance Art
298,AHIS 433,AHIS 433 Studies in Medieval Art
299,AHIS 436,AHIS 436 The Philosophy of Art
300,AHIS 449,AHIS 449 History of Prints and Drawings
301,AHIS 453,AHIS 453 Studies in Baroque Art
302,AHIS 460,AHIS 460 Studies in 18th and 19th Century Art
303,AHIS 465,AHIS 465 Studies in American Art
304,AHIS 466,AHIS 466 Studies in the Decorative Arts and Design
305,AHIS 467,AHIS 467 19th Century French Art
306,AHIS 468,AHIS 468 Studies in Modern Art
307,AHIS 469,AHIS 469 Critical Approaches to Photography
308,AHIS 470,AHIS 470 Studies in Contemporary Art
309,AHIS 475m,AHIS 475m Blackness in American Visual Culture
310,AHIS 476,AHIS 476 The Art of Walt Disney
311,AHIS 477,AHIS 477 Studies in Visual and Material Culture
312,AHIS 479,AHIS 479 History in the Museum: The Past in Objects
313,AHIS 481,AHIS 481 Studies in Japanese Art
314,AHIS 482,AHIS 482 Japanese Photography
315,AHIS 484,AHIS 484 Studies in Chinese Art
316,AHIS 485,AHIS 485 Material Culture of the Silk Road
317,AHIS 486,"AHIS 486 Introduction to Museums: Past, Present, and Future"
318,AHIS 488,AHIS 488 Topics in Art Conservation
319,AHIS 489,AHIS 489 History of the Book
320,AHIS 490x,AHIS 490x Directed Research
321,AHIS 492,AHIS 492 Museum Educator Training
322,AHIS 494,AHIS 494 Undergraduate Proseminar in Art History
323,AHIS 495a,AHIS 495a Undergraduate Honors Thesis
324,AHIS 495b,AHIS 495b Undergraduate Honors Thesis
325,AHIS 496,AHIS 496 Paintings in the Prado Museum
326,AHIS 497,AHIS 497 Senior Seminar in Early Modern Studies
327,AHIS 498,AHIS 498 The Gods and Goddesses of the Renaissance
328,AHIS 499,AHIS 499 Special Topics
329,AHIS 500,AHIS 500 Methods and Theory of Art History
330,AHIS 501,AHIS 501 Problems in the History and Theory of Collecting and Display
331,AHIS 502,"AHIS 502 Markets, Value and the Institutions of Art"
332,AHIS 503,AHIS 503 Categories and Collections
333,AHIS 504,AHIS 504 Museum Research Assistantship
334,AHIS 505,AHIS 505 Seminar in Feminist Theory and Visual Culture
335,AHIS 509,AHIS 509 Seminar in Arts of the Ancient Americas
336,AHIS 510,AHIS 510 Seminar in Ancient Art
337,AHIS 511,AHIS 511 Seminar in Medieval Art
338,AHIS 512,AHIS 512 Seminar in Renaissance Art
339,AHIS 513,AHIS 513 Seminar in Baroque Art
340,AHIS 514,AHIS 514 Seminar in 18th and 19th Century European Art
341,AHIS 515,AHIS 515 Seminar in Contemporary Art
342,AHIS 516,AHIS 516 Seminar in the History of Photography and Visual Culture
343,AHIS 517,AHIS 517 Seminar in Korean Art
344,AHIS 518,AHIS 518 Seminar in Chinese Art
345,AHIS 519,AHIS 519 Seminar in Japanese Art
346,AHIS 520,AHIS 520 Seminar in Modern Art
347,AHIS 521,AHIS 521 Seminar in Modern German Art
348,AHIS 522,AHIS 522 Writing (and) the History of Art
349,AHIS 524,AHIS 524 Readings in Greek and Roman Authors on Ancient Art and Monuments
350,AHIS 525,AHIS 525 Seminar in American Art
351,AHIS 528,AHIS 528 Seminar in Colonial Latin American Art
352,AHIS 529,"AHIS 529 Seminar in Art, Science, and Technology"
353,AHIS 550,"AHIS 550 Art, Business and the Law"
354,AHIS 590,AHIS 590 Directed Research
355,AHIS 593x,AHIS 593x Practicum in Teaching the Liberal Arts
356,AHIS 594a,AHIS 594a Master's Thesis
357,AHIS 594b,AHIS 594b Master's Thesis
358,AHIS 594z,AHIS 594z Master's Thesis
359,AHIS 595,AHIS 595 Internship for Curricular Practical Training
360,AHIS 596,AHIS 596 Seminar on Advanced Writing and Professionalization in Art History
361,AHIS 599,AHIS 599 Special Topics
362,AHIS 790,AHIS 790 Research
363,AHIS 794a,AHIS 794a Doctoral Dissertation
364,AHIS 794b,AHIS 794b Doctoral Dissertation
365,AHIS 794c,AHIS 794c Doctoral Dissertation
366,AHIS 794d,AHIS 794d Doctoral Dissertation
367,AHIS 794z,AHIS 794z Doctoral Dissertation
368,ALI 090x,ALI 090x Beginning English as a Second Language for International Students
369,ALI 103x,ALI 103x Elective Courses in English as a Second Language for International Students
370,ALI 134,ALI 134 Intermediate Oral Skills
371,ALI 135,ALI 135 Intermediate Writing Skills
372,ALI 144,ALI 144 High Intermediate Oral Skills
373,ALI 145,ALI 145 High Intermediate Writing Skills
374,ALI 200,ALI 200 Elementary English as a Second Language for International Students
375,ALI 211,ALI 211 Low Intermediate ESL (II) for International Students
376,ALI 224,ALI 224 Academic and Professional Speaking Skills I
377,ALI 225,ALI 225 Academic and Professional Writing Skills I
378,ALI 234,ALI 234 Academic and Professional Speaking Skills II
379,ALI 235,ALI 235 Academic and Professional Writing Skills II
380,ALI 242,ALI 242 High Intermediate Pronunciation
381,ALI 244,ALI 244 Academic and Professional Speaking Skills III
382,ALI 245,ALI 245 Academic and Professional Writing III
383,ALI 246,ALI 246 Intermediate Oral Communication for ITAs
384,ALI 252,ALI 252 Advanced Pronunciation
385,ALI 254,ALI 254 Academic and Professional Speaking Skills IV
386,ALI 255,ALI 255 Academic and Professional Writing Skills IV
387,ALI 256,ALI 256 High Intermediate Oral Communication for ITAs
388,ALI 270,ALI 270 Advanced Oral Communication for ITAs
389,ALI 271,ALI 271 Language Tutorial for International Teaching Assistants
390,ALI 274,ALI 274 Advanced Academic and Professional Spoken English
391,ALI 275,ALI 275 Writing for Publication and Dissertations
392,ALI 276,ALI 276 Workshop for International Teaching Assistants
393,ALI 280,ALI 280 English Skills and Strategies for the Job Search
394,AME 101L,AME 101L Introduction to Mechanical Engineering and Graphics
395,AME 105,AME 105 Introduction to Aerospace Engineering
396,AME 150L,AME 150L Introduction to Computational Methods
397,AME 201,AME 201 Statics
398,AME 204,AME 204 Strength of Materials
399,AME 222,AME 222 Fundamentals of Audio Engineering
400,AME 231L,AME 231L Mechanical Behavior of Materials
401,AME 232L,AME 232L Manufacturing Processes
402,AME 261,AME 261 Basic Flight Mechanics
403,AME 291,AME 291 Undergraduate Design Projects I
404,AME 301,AME 301 Dynamics
405,AME 302,AME 302 Dynamic Systems
406,AME 303,AME 303 Dynamics of Machinery
407,AME 305,AME 305 Mechanical Design
408,AME 308,AME 308 Computer-Aided Analyses for Aero-Mechanical Design
409,AME 309,AME 309 Dynamics of Fluids
410,AME 310,AME 310 Engineering Thermodynamics I
411,AME 331,AME 331 Heat Transfer
412,AME 341aL,AME 341aL Mechoptronics Laboratory I and II
413,AME 341bL,AME 341bL Mechoptronics Laboratory I and II
414,AME 390,AME 390 Special Problems
415,AME 403,AME 403 Stress Analysis
416,AME 404,AME 404 Computational Solutions to Engineering Problems
417,AME 405,AME 405 Functional Approach to Computational Methods
418,AME 408,AME 408 Computer-Aided Design of Mechanical Systems
419,AME 409,AME 409 Senior Design Project
420,AME 410,AME 410 Engineering Design Theory and Methodology
421,AME 412,AME 412 Molecular Theory of Gases
422,AME 414,AME 414 Engineering Thermodynamics II
423,AME 415,AME 415 Turbine Design and Analysis
424,AME 420,AME 420 Engineering Vibrations I
425,AME 428,AME 428 Mechanics of Materials
426,AME 430,AME 430 Thermal Systems Design
427,AME 436,AME 436 Energy and Propulsion
428,AME 441aL,AME 441aL Senior Projects Laboratory
429,AME 441bL,AME 441bL Senior Projects Laboratory
430,AME 443,AME 443 Control Systems Laboratory
431,AME 451,AME 451 Linear Control Systems I
432,AME 453,AME 453 Engineering Dynamics
433,AME 455,AME 455 Introduction to MEMS
434,AME 457,AME 457 Engineering Fluid Dynamics
435,AME 459,AME 459 Flight Mechanics
436,AME 460,AME 460 Aerodynamic Theory
437,AME 461,AME 461 Formation Data Sensing with Well Logs
438,AME 462,"AME 462 Economic, Risk and Formation Productivity Analysis"
439,AME 463L,AME 463L Introduction to Transport Processes in Porous Media
440,AME 464L,AME 464L Modeling and Simulation of Subsurface Flow Systems
441,AME 465L,AME 465L Drilling Technology and Subsurface Methods
442,AME 481,AME 481 Aircraft Design
443,AME 485,AME 485 Aerospace Structures I
444,AME 486,AME 486 Mechanics of Composite Materials for Modern Structures
445,AME 490x,AME 490x Directed Research
446,AME 491,AME 491 Undergraduate Design Projects II
447,AME 499,AME 499 Special Topics
448,AME 501,AME 501 Innovative Conceptual Design for New Product Development
449,AME 502,AME 502 Modern Topics in Aerospace Design
450,AME 503,AME 503 Advanced Mechanical Design
451,AME 504L,AME 504L Mechatronic Systems Engineering
452,AME 505,AME 505 Engineering Information Modeling
453,AME 506,AME 506 Continuum Mechanics
454,AME 507,AME 507 Mechanics of Solids I
455,AME 509,AME 509 Applied Elasticity
456,AME 510,AME 510 Advanced Computational Design and Manufacturing
457,AME 511,AME 511 Compressible Gas Dynamics
458,AME 513a,AME 513a Fundamentals and Applications of Combustion
459,AME 513b,AME 513b Fundamentals and Applications of Combustion
460,AME 515,AME 515 Advanced Heat and Mass Diffusion
461,AME 516,AME 516 Convection Processes
462,AME 517,AME 517 Radiation Heat Transfer
463,AME 520,AME 520 Modeling of Bio-Systems
464,AME 521,AME 521 Engineering Vibrations II
465,AME 522,"AME 522 Nonlinear Dynamical Systems, Vibrations, and Chaos"
466,AME 523,AME 523 Random Vibrations
467,AME 524,AME 524 Advanced Engineering Dynamics
468,AME 525,AME 525 Engineering Analysis
469,AME 526,AME 526 Introduction to Mathematical Methods in Engineering II
470,AME 527,AME 527 Elements of Vehicle and Energy Systems Design
471,AME 528,AME 528 Finite Element Analysis
472,AME 529,AME 529 Aircraft Structures Analysis
473,AME 530a,AME 530a Dynamics of Incompressible Fluids
474,AME 530b,AME 530b Dynamics of Incompressible Fluids
475,AME 532a,AME 532a Flight Vehicle Stability and Control
476,AME 532b,AME 532b Flight Vehicle Stability and Control
477,AME 533,AME 533 Multi-Phase Flows
478,AME 534,AME 534 Nuclear Thermal-Hydraulics
479,AME 535a,AME 535a Introduction to Computational Fluid Mechanics
480,AME 535b,AME 535b Introduction to Computational Fluid Mechanics
